File,UserId,Smell,ModelPrediction,UserAnnotation
c182b62cc1fe360417bde6f62426e73f,10_before,LongMethod,true,false
c182b62cc1fe360417bde6f62426e73f,12_before,LongMethod,true,false
c182b62cc1fe360417bde6f62426e73f,1_before,LongMethod,true,false
c182b62cc1fe360417bde6f62426e73f,5_before,LongMethod,true,false
c182b62cc1fe360417bde6f62426e73f,9_before,LongMethod,true,true
0065925e4ba65c5c30324830bce178a6,13_before,LongMethod,true,false
0065925e4ba65c5c30324830bce178a6,13_before,LongMethod,true,false
0065925e4ba65c5c30324830bce178a6,14_before,LongMethod,true,false
0065925e4ba65c5c30324830bce178a6,14_before,LongMethod,true,false
069012d3bcc5a7b9e2cbe02b4c0a0d8e,14_before,ComplexMethod,false,true
069012d3bcc5a7b9e2cbe02b4c0a0d8e,7_before,ComplexMethod,false,true
50e0fa5d14b96ae027426bb83d3a7a75,12_before,MultiFaceted,false,true
50e0fa5d14b96ae027426bb83d3a7a75,3_before,MultiFaceted,true,true
50e0fa5d14b96ae027426bb83d3a7a75,5_before,MultiFaceted,false,true
7e6e4764cfb2c222c527ad482c0044b7,8_before,MultiFaceted,false,true
1a37a9187eb6164e33bcb14f7cf4854f,10_before,LongMethod,true,false
1a37a9187eb6164e33bcb14f7cf4854f,10_before,ComplexMethod,false,true
1a37a9187eb6164e33bcb14f7cf4854f,12_before,ComplexMethod,false,true
1a37a9187eb6164e33bcb14f7cf4854f,4_before,ComplexMethod,false,true
1a37a9187eb6164e33bcb14f7cf4854f,6_before,ComplexMethod,false,true
56f211227ad417ba59ba5a45c2b93403,13_before,MultiFaceted,true,true
a6b6f4e1a61c4aafc0902e79afad2b73,7_before,LongMethod,false,true
dfcb15c9123b28a06c8e87b7146a8653,6_before,LongMethod,true,true
dd7f70f061ba02ad51bc59d436b4845c,14_before,ComplexMethod,true,false
dd7f70f061ba02ad51bc59d436b4845c,4_before,ComplexMethod,true,true
dd7f70f061ba02ad51bc59d436b4845c,6_before,LongMethod,true,true
dd7f70f061ba02ad51bc59d436b4845c,8_before,ComplexMethod,true,true
f8b5e0388f03e5b642a1b31c68ced8d1,10_before,ComplexMethod,true,true
f8b5e0388f03e5b642a1b31c68ced8d1,1_before,ComplexMethod,true,true
f8b5e0388f03e5b642a1b31c68ced8d1,3_before,ComplexMethod,true,false
f8b5e0388f03e5b642a1b31c68ced8d1,6_before,LongMethod,true,true
f8b5e0388f03e5b642a1b31c68ced8d1,8_before,ComplexMethod,true,true
1eaa02d869cb73e6c73a14288264baf9,4_before,ComplexMethod,true,true
1eaa02d869cb73e6c73a14288264baf9,6_before,ComplexMethod,false,true
1eaa02d869cb73e6c73a14288264baf9,8_before,ComplexMethod,true,true
14d8e29cb69153c42e031ff04b544322,11_before,LongMethod,true,false
14d8e29cb69153c42e031ff04b544322,11_before,LongMethod,true,false
14d8e29cb69153c42e031ff04b544322,1_before,LongMethod,true,false
14d8e29cb69153c42e031ff04b544322,2_before,LongMethod,true,false
14d8e29cb69153c42e031ff04b544322,6_before,LongMethod,true,true
dbc5a8d8976a166c85ea7df4acdc445f,10_before,MultiFaceted,false,true
dbc5a8d8976a166c85ea7df4acdc445f,1_before,MultiFaceted,false,true
4e50fb7a6c56847680714b365823e822,11_before,LongMethod,true,false
4e50fb7a6c56847680714b365823e822,1_before,LongMethod,true,false
4e50fb7a6c56847680714b365823e822,2_before,LongMethod,true,false
4e50fb7a6c56847680714b365823e822,6_before,LongMethod,true,false
90d63b490e358643779704f97a1c0fd6,14_before,ComplexMethod,true,false
90d63b490e358643779704f97a1c0fd6,4_before,ComplexMethod,true,false
0c0ec9f5b5be92c2d869f48f7b8775a1,6_before,LongMethod,true,false
ca09c5e1eb808bda0ccb837651268935,11_before,LongMethod,true,false
ca09c5e1eb808bda0ccb837651268935,1_before,LongMethod,true,true
ca09c5e1eb808bda0ccb837651268935,1_before,LongMethod,true,false
ca09c5e1eb808bda0ccb837651268935,2_before,LongMethod,true,false
ca09c5e1eb808bda0ccb837651268935,6_before,ComplexMethod,true,true
ca09c5e1eb808bda0ccb837651268935,6_before,LongMethod,true,true
467cb0554d01f77911f72e8523f7bea6,7_before,MultiFaceted,false,true
21716ab8eac936b1f6c828fb6e2cfa33,6_before,ComplexMethod,true,false
21716ab8eac936b1f6c828fb6e2cfa33,6_before,LongMethod,true,false
3c66e199ef985a03aaebd52e1f833977,8_before,ComplexMethod,false,true
ddce12a8fe1b0084378fb94bf50ae182,11_before,ComplexMethod,true,false
ddce12a8fe1b0084378fb94bf50ae182,11_before,LongMethod,true,false
ddce12a8fe1b0084378fb94bf50ae182,11_before,ComplexMethod,false,true
ddce12a8fe1b0084378fb94bf50ae182,12_before,ComplexMethod,false,true
ddce12a8fe1b0084378fb94bf50ae182,1_before,ComplexMethod,true,true
ddce12a8fe1b0084378fb94bf50ae182,1_before,LongMethod,true,true
ddce12a8fe1b0084378fb94bf50ae182,2_before,ComplexMethod,true,false
ddce12a8fe1b0084378fb94bf50ae182,2_before,LongMethod,true,false
ddce12a8fe1b0084378fb94bf50ae182,2_before,ComplexMethod,false,true
ddce12a8fe1b0084378fb94bf50ae182,5_before,ComplexMethod,false,true
ddce12a8fe1b0084378fb94bf50ae182,6_before,ComplexMethod,true,true
ddce12a8fe1b0084378fb94bf50ae182,8_before,LongMethod,true,false
